Ind,exp,cond,pop,sumNeo,sumNeoD,sumNeoNpop,sumNeoAS,size,sizeD,sizeNpop,sizeAS,adult,adultD,adultNpop,adultAS
0_1,A,HALC,CWP,49,14.417,44.883,10.3,3.459,0.015,3.359,-0.085,7,0.792,6.708,0.5
0_4,A,HALC,CWP,46,11.417,41.883,7.3,3.686,0.242,3.586,0.142,7,0.792,6.708,0.5
1_2,A,HALC,CWP,62,27.417,57.883,23.3,3.787,0.343,3.687,0.243,6,-0.208,5.708,-0.5
2_1,A,HALC,CWP,49,14.417,44.883,10.3,3.442,-0.002,3.342,-0.102,7,0.792,6.708,0.5
2.5_9,A,HALC,CWP,45,10.417,40.883,6.3,3.411,-0.033,3.311,-0.133,7,0.792,6.708,0.5
2.5_11,A,HALC,CWP,82,47.417,,,4.023,0.579,,,5,-1.208,4.708,-1.5
3_6,A,HALC,CWP,49,14.417,44.883,10.3,3.531,0.087,3.431,-0.013,6,-0.208,5.708,-0.5
3.5_1,A,HALC,CWP,38,3.417,33.883,-0.7,3.406,-0.038,3.306,-0.138,7,0.792,6.708,0.5
3.5_2,A,HALC,CWP,56,21.417,51.883,17.3,3.534,0.09,3.434,-0.01,5,-1.208,4.708,-1.5
3.5_15,A,HALC,CWP,54,19.417,49.883,15.3,3.578,0.134,3.478,0.034,5,-1.208,4.708,-1.5
6_2,A,HALC,PP,45,11.333,41.667,8,3.716,0.273,3.71,0.267,8,1.952,7.603,1.556
7_3,A,HALC,PP,39,5.333,35.667,2,3.15,-0.293,,,8,1.952,7.603,1.556
7_5,A,HALC,PP,59,25.333,55.667,22,3.46,0.017,3.454,0.011,8,1.952,7.603,1.556
7.5_4,A,HALC,PP,53,19.333,49.667,16,3.643,0.2,3.637,0.194,7,0.952,6.603,0.556
9_20,A,HALC,PP,52,18.333,48.667,15,3.573,0.13,3.567,0.124,8,1.952,7.603,1.556
9.5_3,A,HALC,PP,64,30.333,60.667,27,4.044,0.601,4.038,0.595,5,-1.048,4.603,-1.444
12.5_1,A,HALC,EP,68,33.043,69.068,34.111,3.757,0.299,3.714,0.256,7,0.783,6.773,0.556
13_1,A,HALC,EP,69,34.043,70.068,35.111,4.043,0.585,4,0.542,6,-0.217,5.773,-0.444
13_2,A,HALC,EP,60,25.043,61.068,26.111,3.87,0.412,3.827,0.369,6,-0.217,5.773,-0.444
13_3,A,HALC,EP,36,1.043,37.068,2.111,3.159,-0.299,3.116,-0.342,5,-1.217,4.773,-1.444
13.5_1,A,HALC,EP,44,9.043,45.068,10.111,3.476,0.018,3.433,-0.025,8,1.783,7.773,1.556
14.5_1,A,HALC,EP,51,16.043,52.068,17.111,4.021,0.563,3.978,0.52,8,1.783,7.773,1.556
15.5_1,A,HALC,EP,60,25.043,61.068,26.111,3.71,0.252,3.667,0.209,6,-0.217,5.773,-0.444
0_2,A,LAHC,CWP,7,-27.583,2.883,-31.7,2.708,-0.736,2.608,-0.836,10,3.792,9.708,3.5
1_2,A,LAHC,CWP,3,-31.583,-1.117,-35.7,2.825,-0.619,2.725,-0.719,17,10.792,16.708,10.5
2_1,A,LAHC,CWP,8,-26.583,3.883,-30.7,2.723,-0.721,2.623,-0.821,8,1.792,7.708,1.5
2.5_9,A,LAHC,CWP,12,-22.583,7.883,-26.7,2.827,-0.617,2.727,-0.717,11,4.792,10.708,4.5
7_3,A,LAHC,PP,4,-29.667,0.667,-33,2.462,-0.981,2.456,-0.987,15,8.952,14.603,8.556
7_5,A,LAHC,PP,6,-27.667,2.667,-31,,,,,12,5.952,11.603,5.556
9_6,A,LAHC,PP,7,-26.667,3.667,-30,2.874,-0.569,2.868,-0.575,18,11.952,17.603,11.556
13_1,A,LAHC,EP,8,-26.957,9.068,-25.889,2.912,-0.546,2.869,-0.589,9,2.783,8.773,2.556
13_2,A,LAHC,EP,6,-28.957,7.068,-27.889,2.704,-0.754,2.661,-0.797,10,3.783,9.773,3.556
